,Columns,n,type,mean,std,min,25%,50%,75%,max,value 0,value 1,value 2,value 3,value 4,freq 0,freq 1,freq 2,freq 3,freq 4,freqNull,freqOther
17,review_scores_value,8695,float64,9.538470385278895,0.7465033631778106,2.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,6.0,5465.0,2731.0,356.0,68.0,50.0,0.0,25.0
18,host_response_time_flag,8695,int64,0.6158711903392754,0.4864165688113296,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,5355.0,3340.0,,,,0.0,0.0
19,host_response_rate_flag,8695,int64,0.6158711903392754,0.4864165688113296,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,5355.0,3340.0,,,,0.0,0.0
20,security_deposit_flag,8695,int64,0.751811385853939,0.4319866757205218,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,6537.0,2158.0,,,,0.0,0.0
21,bathrooms_flag,8695,int64,0.9995399654974123,0.021444714046203153,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,8691.0,4.0,,,,0.0,0.0
22,beds_flag,8695,int64,0.9997699827487061,0.015165447381568224,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,8693.0,2.0,,,,0.0,0.0
23,review_scores_accuracy_flag,8695,int64,0.8775158136860265,0.3278630402684843,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,7630.0,1065.0,,,,0.0,0.0
24,review_scores_checkin_flag,8695,int64,0.8775158136860265,0.3278630402684843,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,7630.0,1065.0,,,,0.0,0.0
25,review_scores_location_flag,8695,int64,0.8775158136860265,0.3278630402684843,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,7630.0,1065.0,,,,0.0,0.0
26,host_is_superhost_f,8695,uint8,0.624036802760207,0.4843984490051182,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,5426.0,3269.0,,,,0.0,0.0
27,host_is_superhost_t,8695,uint8,0.375963197239793,0.4843984490051182,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,5426.0,3269.0,,,,0.0,0.0
28,neighbourhood_group_cleansed_Beacon Hill,8695,uint8,0.03795284646348476,0.19109324330274363,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8365.0,330.0,,,,0.0,0.0
29,neighbourhood_group_cleansed_Cascade,8695,uint8,0.03852788959171938,0.1924779263354191,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8360.0,335.0,,,,0.0,0.0
30,neighbourhood_group_cleansed_Delridge,8695,uint8,0.028982173663024725,0.16776604019184416,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8443.0,252.0,,,,0.0,0.0
31,neighbourhood_group_cleansed_Interbay,8695,uint8,0.0017251293847038527,0.04150122165162269,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8680.0,15.0,,,,0.0,0.0
32,neighbourhood_group_cleansed_Magnolia,8695,uint8,0.01863139735480161,0.13522711073546176,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8533.0,162.0,,,,0.0,0.0
33,neighbourhood_group_cleansed_Other neighborhoods,8695,uint8,0.18493387004025302,0.3882662377540939,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,7087.0,1608.0,,,,0.0,0.0
34,neighbourhood_group_cleansed_Rainier Valley,8695,uint8,0.047843588269120184,0.21344746216067978,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8279.0,416.0,,,,0.0,0.0
35,neighbourhood_group_cleansed_University District,8695,uint8,0.029787234042553193,0.17000964342361694,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8436.0,259.0,,,,0.0,0.0
36,zipcode_98052.0,8695,uint8,0.00011500862564692352,0.010724207460084102,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8694.0,1.0,,,,0.0,0.0
37,zipcode_98102.0,8695,uint8,0.059919493962047155,0.2373512740400792,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8174.0,521.0,,,,0.0,0.0
38,zipcode_98104.0,8695,uint8,0.027947096032202415,0.1648307633473915,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,8452.0,243.0,,,,0.0,0.0
